title;location;date;players;surface;court_type;prize;winner
Roland Garros;Paris;2000.05.29;128;Clay;Outdoor;$4,564,505;Gustavo Kuerten
Halle;Halle;2000.06.12;32;Grass;Outdoor;$1,000,000;David Prinosil
London / Queen's Club;London;2000.06.12;56;Grass;Outdoor;$800,000;Lleyton Hewitt
's-Hertogenbosch;s-Hertogenbosch;2000.06.19;32;Grass;Outdoor;$400,000;Patrick Rafter
Nottingham;Nottingham;2000.06.19;32;Grass;Outdoor;$375,000;Sebastien Grosjean
Wimbledon;London;2000.06.26;128;Grass;Outdoor;$5,564,842;Pete Sampras
Gstaad;Gstaad;2000.07.10;32;Clay;Outdoor;$600,000;Alex Corretja
Bastad;Bastad;2000.07.10;32;Clay;Outdoor;$375,000;Magnus Norman
Newport;Newport;2000.07.10;32;Grass;Outdoor;$375,000;Peter Wessels
Stuttgart Outdoor;Stuttgart;2000.07.17;32;Clay;Outdoor;$1,000,000;Franco Squillari
Amsterdam;Amsterdam;2000.07.17;32;Clay;Outdoor;$400,000;Magnus Gustafsson
Umag;Umag;2000.07.17;32;Clay;Outdoor;$400,000;Marcelo Rios
Kitzbuhel;Kitzbuhel;2000.07.24;48;Clay;Outdoor;$750,000;Alex Corretja
Los Angeles;Los Angeles;2000.07.24;32;Hard;Outdoor;$375,000;Michael Chang
San Marino;San Marino;2000.07.24;32;Clay;Outdoor;$350,000;Alex Calatrava
ATP Masters Series Canada;Toronto;2000.07.31;64;Hard;Outdoor;$2,450,000;Marat Safin
ATP Masters Series Cincinnati;Cincinnati;2000.08.07;64;Hard;Outdoor;$2,950,000;Thomas Enqvist
Indianapolis;Indianapolis;2000.08.14;56;Hard;Outdoor;$800,000;Gustavo Kuerten
Washington;Washington;2000.08.14;56;Hard;Outdoor;$800,000;Alex Corretja
Long Island;Long Island;2000.08.21;48;Hard;Outdoor;$415,200;Magnus Norman
US Open;New York;2000.08.28;128;Hard;Outdoor;$6,467,000;Marat Safin
Tashkent;Tashkent;2000.09.11;32;Hard;Outdoor;$525,000;Marat Safin
Bucharest;Bucharest;2000.09.11;32;Clay;Outdoor;$375,000;Juan Balcells
Sydney Olympics;Sydney;2000.09.18;64;Hard;Outdoor;;Yevgeny Kafelnikov
Palermo;Palermo;2000.09.25;32;Clay;Outdoor;$375,000;Olivier Rochus
Hong Kong;Hong Kong;2000.10.02;32;Hard;Outdoor;$375,000;Nicolas Kiefer
Tokyo;Tokyo;2000.10.09;56;Hard;Outdoor;$800,000;Sjeng Schalken
Vienna;Vienna;2000.10.09;32;Hard;Indoor;$800,000;Tim Henman
Toulouse;Toulouse;2000.10.16;32;Hard;Indoor;$400,000;Alex Corretja
Shanghai;Shanghai;2000.10.16;32;Hard;Outdoor;$375,000;Magnus Norman
Basel;Basel;2000.10.23;32;Carpet;Indoor;$1,000,000;Thomas Enqvist
Moscow;Moscow;2000.10.23;32;Carpet;Indoor;$1,000,000;Yevgeny Kafelnikov
ATP Masters Series Stuttgart;Stuttgart;2000.10.30;48;Hard;Indoor;$2,950,000;Wayne Ferreira
Lyon;Lyon;2000.11.06;32;Carpet;Indoor;$800,000;Arnaud Clement
St. Petersburg;St. Petersburg;2000.11.06;32;Hard;Indoor;$800,000;Marat Safin
