player_id,player_name,age,country,favorite_hand,backhand,turned_pro,prize_money,titles,cluster_level,cluster_piso,cluster_pressao,cluster_saque,cluster_duplafalta,cluster_servico,cluster_retorno,cluster_bpcontra,cluster_bpfavor,cluster_pontos,cluster_game,cluster_match,cluster_tiebreak,cluster_upset,cluster_dominance,cluster_rodada,cluster_velocidade,cluster_oponente
25609,Ilya Ivashka,0,0,0,0,0,0,0,1,1,0,1,1,2,1,1,2,2,2,1,2,1,0,4,2,0
4533,Dudi Sela,34,Israel,Right-handed,One-handed,2002,3869762,0,0,1,0,0,0,2,1,1,0,0,2,0,2,2,1,1,0,1
4198,Guillermo Garcia Lopez,36,Spain,Right-handed,One-handed,2002,8003533,5,0,1,0,0,1,2,1,1,0,2,2,0,0,2,0,0,0,1
22510,Juan Pablo Varillas Patino Samudio,24,Peru,Right-handed,Two-handed,0,77631,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2,2,0
45150,Emil Ruusuvuori,20,Finland,Right-handed,Two-handed,0,7933,0,1,0,1,0,1,1,2,2,0,0,2,0,2,1,1,2,2,0
5863,Emilio Gomez,27,Ecuador,Right-handed,Two-handed,0,272511,0,1,0,1,0,0,0,1,0,0,1,0,0,2,0,2,2,2,0
4659,Sergiy Stakhovsky,33,Ukraine,Right-handed,One-handed,2003,5325081,4,0,1,0,1,0,2,3,1,2,2,2,0,2,2,1,0,1,1
5550,Alessandro Giannessi,29,Italy,Left-handed,Two-handed,2008,656762,0,1,0,0,0,1,1,1,0,2,1,1,1,0,1,1,4,1,0
10726,Nikola Milojevic,0,0,0,0,0,0,0,1,0,1,0,1,1,2,2,0,0,2,0,1,0,0,2,2,0
5565,Vasek Pospisil,29,Canada,Right-handed,Two-handed,2007,5287905,0,0,0,0,1,1,0,3,0,2,2,2,0,0,2,1,4,1,1
5929,Federico Gaio,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,2,2,1,1,0,0,1,2,2,0
5644,Marius Copil,29,Romania,Right-handed,One-handed,2008,1910926,0,1,1,0,1,0,0,0,0,2,2,2,0,2,1,1,0,1,1
4585,Lukas Rosol,0,0,0,0,0,0,0,0,1,0,1,0,2,3,0,2,2,2,0,2,2,1,0,0,1
4326,Steve Darcis,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,2,0,2,2,1,0,1,1
6279,Kimmer Coppejans,25,Belgium,Right-handed,Two-handed,0,409346,0,1,0,1,0,1,1,3,2,2,2,1,1,1,0,1,2,2,0
4677,Viktor Troicki,33,Serbia,Right-handed,Two-handed,2006,8628325,3,0,1,0,1,0,2,1,1,0,0,2,0,2,2,0,3,0,1
6095,Alex Bolt,0,0,0,0,0,0,0,1,0,1,1,0,2,3,1,2,1,1,1,2,2,1,2,2,0
4894,Robin Haase,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,2,2,0,0,2,0,4,0,1
6200,Oscar Otte,26,Germany,Right-handed,0,2011,446804,0,1,0,1,1,1,0,0,1,2,2,2,1,1,1,0,2,2,0
45308,Rudolf Molleker,19,Germany,Right-handed,Two-handed,2017,322818,0,1,0,1,1,1,2,0,1,2,2,1,1,0,1,1,2,2,0
5971,Darian King,27,Barbados,Right-handed,Two-handed,2010,598274,0,1,0,1,0,0,1,2,1,0,0,0,0,2,2,0,2,2,0
23950,Sebastian Ofner,23,Austria,Right-handed,Two-handed,2015,334529,0,1,1,0,1,1,2,3,0,2,0,2,0,2,1,1,3,1,1
5636,Cedrik Marcel Stebe,29,Germany,Left-handed,Two-handed,2010,1033925,0,0,0,1,0,0,1,1,2,0,0,1,1,2,1,1,0,1,0
11426,Mikael Torpegaard,25,Denmark,Right-handed,Two-handed,2019,72127,0,1,0,0,1,1,2,3,2,2,1,1,1,2,0,1,2,2,0
4570,Marcos Baghdatis,34,Cyprus,Right-handed,Two-handed,2003,8918917,4,0,1,0,1,0,0,1,1,0,2,0,0,2,2,0,3,0,1
5856,Yannick Hanfmann,27,Germany,0,Two-handed,2015,484561,0,1,1,1,0,0,2,3,0,2,2,2,1,0,1,1,0,2,0
6096,Filip Horansky,26,Slovakia,Right-handed,Two-handed,0,143530,0,1,0,1,0,0,1,1,2,0,0,1,1,1,0,1,2,2,0
6061,Jozef Kovalik,27,Slovakia,Right-handed,Two-handed,0,770744,0,0,0,1,0,0,2,3,1,0,2,1,1,0,1,1,4,1,1
